std_smiles,std_class,std_relation,num,inchi_key
CC(C)NCC(O)COc1cccc2ccccc12,1,=,1,AQHHHDLHHXJYJD-UHFFFAOYSA-N
CC(C)(C)OC(=O)CCCc1ccc(N(CCCl)CCCl)cc1,1,=,2,SZXDOYFHSIIZCF-UHFFFAOYSA-N
CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,1,=,3,GSDSWSVVBLHKDQ-UHFFFAOYSA-N
CC(=O)NCCCOc1cccc(CN2CCCCC2)c1,1,=,4,FAXLXLJWHQJMPK-UHFFFAOYSA-N
Cc1onc(-c2ccccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12,1,=,5,LQOLIRLGBULYKD-JKIFEVAISA-N
CCN1CCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=C(CSc4nnnn4C)CS[C@H]23)c2ccc(O)cc2)C(=O)C1=O,1,=,6,GCFBRXLSHGKWDP-XCGNWRKASA-N
CN(C)[C@@H]1C(=O)/C(=C(/O)NCN2CCCC2)C(=O)[C@@]2(O)C(=O)C3=C(O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12,1,=,7,YHDPWEWZPGTMMU-XXZPYRQZSA-N
Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O,1,=,8,FELGMEQIXOGIFQ-UHFFFAOYSA-N
COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1,1,=,9,HSUGRBWQSSZJOP-RTWAWAEBSA-N
NC(N)=NC(=O)c1nc(Cl)c(N)nc1N,1,=,10,XSDQTOBWRPYKKA-UHFFFAOYSA-N
CN1Cc2c(-c3noc(C(C)(O)CO)n3)ncn2-c2cccc(Cl)c2C1=O,0,=,11,NHGAJMORWUZRDS-UHFFFAOYSA-N
Cc1cn([C@H]2C[C@H](F)[C@@H](CO)O2)c(=O)[nH]c1=O,1,=,12,UXCAQJAQSWSNPQ-XLPZGREQSA-N
ClCCl,1,=,13,YMWUJEATGCHHMB-UHFFFAOYSA-N
CC(C)(C)NC(=O)C1CC2CCCCC2CN1CC(O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)c1ccc2ccccc2n1,1,=,14,QWAXKHKRTORLEM-UHFFFAOYSA-N
CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,1,=,15,USSIQXCVUWKGNF-UHFFFAOYSA-N
CCC(=O)N(c1ccccc1)C1(COC)CCN(CCn2nnn(CC)c2=O)CC1,1,=,16,IDBPHNDTYPBSNI-UHFFFAOYSA-N
CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1,1,=,17,RDOIQAHITMMDAJ-UHFFFAOYSA-N
CN1C2CCC1CC(OC(=O)[C@H](CO)c1ccccc1)C2,1,=,18,RKUNBYITZUJHSG-LGGPCSOHSA-N
COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,1,=,19,ZNNLBTZKUZBEKO-UHFFFAOYSA-N
Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1,1,=,20,PYZRQGJRPPTADH-UHFFFAOYSA-N
